Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Buy,370,2132.4,2021-10-07 06:45:00,788988.0,1170.0600000005215
Sell,370,2114.16,2021-10-07 07:00:00,782239.2,783409.2600000005
Buy,368,2125.32,2021-10-07 08:00:00,782117.76,1291.5000000004657
Sell,368,2127.89,2021-10-07 08:15:00,783063.5199999999,784355.0200000004
Buy,368,2127.89,2021-10-07 08:15:00,783063.5199999999,1291.5000000004657
Sell,368,2125.45,2021-10-07 08:30:00,782165.6,783457.1000000004
Buy,368,2125.45,2021-10-07 08:30:00,782165.6,1291.5000000004657
Sell,368,2121.35,2021-10-07 08:45:00,780656.7999999999,781948.3000000004
Buy,367,2125.36,2021-10-07 09:00:00,780007.12,1941.1800000004005
Sell,367,2126.88,2021-10-07 09:15:00,780564.9600000001,782506.1400000005
Buy,367,2126.88,2021-10-07 09:15:00,780564.9600000001,1941.1800000004005
Sell,367,2129.53,2021-10-07 09:30:00,781537.5100000001,783478.6900000005
Buy,367,2129.53,2021-10-07 09:30:00,781537.5100000001,1941.1800000004005
Sell,367,2117.99,2021-10-07 09:45:00,777302.33,779243.5100000004
Buy,367,2117.99,2021-10-07 09:45:00,777302.33,1941.1800000004005
Sell,367,2118.52,2021-10-07 10:00:00,777496.84,779438.0200000004
Buy,367,2118.52,2021-10-07 10:00:00,777496.84,1941.1800000004005
Sell,367,2108.85,2021-10-07 10:15:00,773947.95,775889.1300000004
Buy,367,2108.85,2021-10-07 10:15:00,773947.95,1941.1800000004005
Sell,367,2101.46,2021-10-07 10:30:00,771235.8200000001,773177.0000000005
Buy,365,2118.02,2021-10-07 11:30:00,773077.3,99.7000000004191
Sell,365,2109.35,2021-10-07 11:45:00,769912.75,770012.4500000004
Buy,365,2109.35,2021-10-07 11:45:00,769912.75,99.7000000004191
Sell,365,2113.17,2021-10-07 12:00:00,771307.05,771406.7500000005
Buy,364,2115.5,2021-10-07 12:30:00,770042.0,1364.7500000004657
Sell,364,2117.21,2021-10-07 12:45:00,770664.4400000001,772029.1900000005
Buy,364,2117.21,2021-10-07 12:45:00,770664.4400000001,1364.7500000004657
Sell,364,2113.41,2021-10-07 13:00:00,769281.24,770645.9900000005
Buy,364,2113.41,2021-10-07 13:00:00,769281.24,1364.7500000004657
Sell,364,2108.92,2021-10-07 13:15:00,767646.88,769011.6300000005
Buy,364,2108.92,2021-10-07 13:15:00,767646.88,1364.7500000004657
Sell,364,2100.4,2021-10-07 13:30:00,764545.6,765910.3500000004
Buy,361,2118.89,2021-10-07 15:15:00,764919.2899999999,991.0600000005215
Sell,361,2121.19,2021-10-07 15:30:00,765749.59,766740.6500000005
Buy,356,2153.34,2021-10-07 16:15:00,766589.04,151.6100000004517
Sell,356,2144.15,2021-10-07 16:30:00,763317.4,763469.0100000005
Buy,356,2144.15,2021-10-07 16:30:00,763317.4,151.6100000004517
Sell,356,2134.23,2021-10-07 16:45:00,759785.88,759937.4900000005
Buy,356,2134.23,2021-10-07 16:45:00,759785.88,151.6100000004517
Sell,356,2100.32,2021-10-07 17:00:00,747713.92,747865.5300000005
Buy,356,2100.32,2021-10-07 17:00:00,747713.92,151.6100000004517
Sell,356,2088.44,2021-10-07 17:15:00,743484.64,743636.2500000005
Buy,354,2097.55,2021-10-07 19:00:00,742532.7000000001,1103.5500000003958
Sell,354,2094.26,2021-10-07 19:15:00,741368.04,742471.5900000004
Buy,354,2094.26,2021-10-07 19:15:00,741368.04,1103.5500000003958
Sell,354,2093.26,2021-10-07 19:30:00,741014.04,742117.5900000004
