Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Sell,278,2107.29,2021-10-07 04:45:00,585826.62,587681.2500000002
Buy,278,2113.44,2021-10-07 05:00:00,587536.3200000001,144.93000000016764
Sell,278,2111.09,2021-10-07 05:15:00,586883.02,587027.9500000002
Buy,278,2111.09,2021-10-07 05:15:00,586883.02,144.93000000016764
Sell,278,2117.82,2021-10-07 05:30:00,588753.9600000001,588898.8900000002
Buy,277,2122.74,2021-10-07 06:15:00,587998.98,899.9100000002654
Sell,277,2117.3,2021-10-07 06:30:00,586492.1000000001,587392.0100000004
Buy,275,2132.4,2021-10-07 06:45:00,586410.0,982.0100000003586
Sell,275,2114.16,2021-10-07 07:00:00,581394.0,582376.0100000004
Buy,275,2114.16,2021-10-07 07:00:00,581394.0,982.0100000003586
Sell,275,2113.69,2021-10-07 07:15:00,581264.75,582246.7600000004
Buy,275,2117.26,2021-10-07 07:30:00,582246.5000000001,0.26000000024214387
Sell,275,2121.7,2021-10-07 07:45:00,583467.5,583467.7600000002
Buy,274,2125.32,2021-10-07 08:00:00,582337.68,1130.080000000191
Sell,274,2127.89,2021-10-07 08:15:00,583041.86,584171.9400000002
Buy,274,2127.89,2021-10-07 08:15:00,583041.86,1130.080000000191
Sell,274,2125.45,2021-10-07 08:30:00,582373.2999999999,583503.3800000001
Buy,274,2125.45,2021-10-07 08:30:00,582373.2999999999,1130.080000000191
Sell,274,2121.35,2021-10-07 08:45:00,581249.9,582379.9800000002
Buy,274,2121.35,2021-10-07 08:45:00,581249.9,1130.080000000191
Sell,274,2125.36,2021-10-07 09:00:00,582348.64,583478.7200000002
Buy,273,2129.53,2021-10-07 09:30:00,581361.6900000001,2117.0300000001444
Sell,273,2117.99,2021-10-07 09:45:00,578211.2699999999,580328.3
Buy,273,2117.99,2021-10-07 09:45:00,578211.2699999999,2117.0300000001444
Sell,273,2118.52,2021-10-07 10:00:00,578355.96,580472.9900000001
Buy,273,2118.52,2021-10-07 10:00:00,578355.96,2117.0300000001444
Sell,273,2108.85,2021-10-07 10:15:00,575716.0499999999,577833.0800000001
Buy,274,2108.85,2021-10-07 10:15:00,577824.9,8.180000000051223
Sell,274,2101.46,2021-10-07 10:30:00,575800.04,575808.2200000001
Buy,274,2101.46,2021-10-07 10:30:00,575800.04,8.180000000051223
Sell,274,2090.63,2021-10-07 10:45:00,572832.62,572840.8
Buy,270,2118.02,2021-10-07 11:30:00,571865.4,975.4000000000233
Sell,270,2109.35,2021-10-07 11:45:00,569524.5,570499.9
Buy,269,2113.17,2021-10-07 12:00:00,568442.73,2057.170000000042
Sell,269,2108.78,2021-10-07 12:15:00,567261.8200000001,569318.9900000001
Buy,269,2108.78,2021-10-07 12:15:00,567261.8200000001,2057.170000000042
Sell,269,2115.5,2021-10-07 12:30:00,569069.5,571126.67
Buy,269,2117.21,2021-10-07 12:45:00,569529.49,1597.1800000000512
Sell,269,2113.41,2021-10-07 13:00:00,568507.2899999999,570104.47
Buy,269,2113.41,2021-10-07 13:00:00,568507.2899999999,1597.1800000000512
Sell,269,2108.92,2021-10-07 13:15:00,567299.48,568896.66
Buy,269,2108.92,2021-10-07 13:15:00,567299.48,1597.1800000000512
Sell,269,2100.4,2021-10-07 13:30:00,565007.6,566604.78
Buy,269,2100.4,2021-10-07 13:30:00,565007.6,1597.1800000000512
Sell,269,2099.65,2021-10-07 13:45:00,564805.85,566403.03
Buy,269,2099.65,2021-10-07 13:45:00,564805.85,1597.1800000000512
Sell,269,2097.35,2021-10-07 14:00:00,564187.15,565784.3300000001
Buy,267,2111.53,2021-10-07 14:45:00,563778.51,2005.8200000000652
Sell,267,2111.01,2021-10-07 15:00:00,563639.67,565645.4900000001
Buy,266,2121.19,2021-10-07 15:30:00,564236.54,1408.9500000000698
Sell,266,2118.5,2021-10-07 15:45:00,563521.0,564929.9500000001
Buy,266,2118.5,2021-10-07 15:45:00,563521.0,1408.9500000000698
Sell,266,2117.78,2021-10-07 16:00:00,563329.4800000001,564738.4300000002
Buy,263,2144.15,2021-10-07 16:30:00,563911.4500000001,826.9800000000978
Sell,263,2134.23,2021-10-07 16:45:00,561302.49,562129.4700000001
Buy,263,2134.23,2021-10-07 16:45:00,561302.49,826.9800000000978
Sell,263,2100.32,2021-10-07 17:00:00,552384.16,553211.1400000001
Buy,263,2100.32,2021-10-07 17:00:00,552384.16,826.9800000000978
Sell,263,2088.44,2021-10-07 17:15:00,549259.72,550086.7000000001
Buy,263,2088.48,2021-10-07 17:30:00,549270.24,816.4600000000792
Sell,263,2085.02,2021-10-07 17:45:00,548360.26,549176.7200000001
Buy,263,2085.02,2021-10-07 17:45:00,548360.26,816.4600000000792
Sell,263,2082.68,2021-10-07 18:00:00,547744.84,548561.3
Buy,261,2097.55,2021-10-07 19:00:00,547460.55,1100.75
Sell,261,2094.26,2021-10-07 19:15:00,546601.8600000001,547702.6100000001
Buy,261,2093.14,2021-10-07 19:45:00,546309.5399999999,1393.0700000001816
Sell,261,2086.59,2021-10-07 20:00:00,544599.99,545993.0600000002
