symbol;datetime;open;high;low;close;volume;symbol_id
ETHUSDT;18/08/21 12:30;3030.14;3035.97;3013.74;3020.77;25484.05;334
ETHUSDT;18/08/21 12:45;3020.77;3039.24;3020.77;3030;26264.803;334
ETHUSDT;18/08/21 13:00;3030;3055;3029.99;3048.13;39665.074;334
ETHUSDT;18/08/21 13:15;3048.19;3065;3048.06;3058.58;29525.979;334
ETHUSDT;18/08/21 13:30;3058.83;3067.94;3045.26;3048.34;33398.703;334
ETHUSDT;18/08/21 13:45;3048.33;3059.5;3041;3055.34;22602.205;334
ETHUSDT;18/08/21 14:00;3055.29;3065.59;3051;3057.56;20440.209;334
ETHUSDT;18/08/21 14:15;3057.55;3076.87;3056.9;3065.07;34830.074;334
ETHUSDT;18/08/21 14:30;3065.06;3070.42;3053;3065.8;17127.676;334
ETHUSDT;18/08/21 14:45;3065.8;3081.84;3061.03;3074.97;26243.627;334
ETHUSDT;18/08/21 15:00;3074.96;3079;3062.33;3062.56;18363.402;334
ETHUSDT;18/08/21 15:15;3062.55;3068.76;3055.19;3056.87;20429.646;334
ETHUSDT;18/08/21 15:30;3056.87;3074.55;3053;3070.88;19532.854;334
ETHUSDT;18/08/21 15:45;3070.89;3117.96;3070.63;3111.69;98804.6;334
ETHUSDT;18/08/21 16:00;3111.69;3113.06;3095;3097.56;52226.203;334
ETHUSDT;18/08/21 16:15;3097.24;3101.53;3085.04;3090.69;32205.443;334
ETHUSDT;18/08/21 16:30;3090.56;3109.54;3090.56;3106.01;26584.408;334
ETHUSDT;18/08/21 16:45;3106;3125.92;3100;3121.4;46450.77;334
ETHUSDT;18/08/21 17:00;3121.64;3123.84;3102;3109.99;32546.113;334
ETHUSDT;18/08/21 17:15;3110;3113.69;3100;3107.7;18305.014;334
ETHUSDT;18/08/21 17:30;3107.69;3111.33;3096.73;3098.7;17257.406;334
ETHUSDT;18/08/21 17:45;3098.71;3109.38;3098.1;3107.3;12774.315;334
ETHUSDT;18/08/21 18:00;3107.29;3118.75;3070.07;3078.31;51987.37;334
ETHUSDT;18/08/21 18:15;3078.32;3087;3058.5;3072.04;41926.234;334
ETHUSDT;18/08/21 18:30;3072.04;3089.23;3071.18;3071.27;20343.904;334
ETHUSDT;18/08/21 18:45;3071.26;3076.86;3055.2;3056.5;25457.94;334
ETHUSDT;18/08/21 19:00;3056.5;3069.01;3049.5;3049.5;18842.496;334
